 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.44196E-01       0.26612E-01      -0.16208E+00      -0.32821E+00       0.15245E-01       0.70116E-01
      0      1      -0.72813E-01      -0.82047E-02       0.45056E-01       0.21876E+01      -0.14957E+00      -0.30186E+01
      0      1       0.15552E-01       0.31119E-01       0.26568E-01       0.24502E+01       0.79583E-01      -0.48965E+00
      0      1      -0.51327E-01      -0.11976E-01      -0.22245E+00      -0.20830E+01       0.13647E-01       0.42057E+00
      0      1       0.42860E-01       0.21914E-01       0.86789E-01       0.21171E+01       0.29058E-01      -0.17182E+01
      0      1       0.51361E-02       0.10709E-01      -0.51223E-01       0.11578E+00       0.16304E+00       0.40986E+01
      0      1      -0.13047E-01      -0.14751E-01      -0.45544E-01      -0.25993E+01      -0.34935E-01      -0.24490E+01
      0      1      -0.42194E-01      -0.79447E-02      -0.21945E+00      -0.15594E+01       0.22622E+00       0.22703E+01
      0      1       0.57101E-01      -0.12806E-01       0.63231E-01       0.96137E+00       0.95446E-01      -0.70785E-01
      0      1      -0.34542E-01      -0.15331E-01       0.14871E+00      -0.20883E+00       0.89292E-01       0.28165E+01
      0      1       0.33718E-01       0.38637E-01      -0.79021E-01      -0.20647E+01      -0.18165E+00      -0.15307E+01
      0      1      -0.55815E-01      -0.62731E-03      -0.54990E-01      -0.20540E+01      -0.10092E+00      -0.95591E+00
      0      1      -0.75689E-02      -0.23046E-01       0.96914E-02       0.11780E+01      -0.25986E+00      -0.17980E+01
      0      1       0.98922E-01       0.47582E-02       0.13908E+00       0.10556E+01       0.66898E-01      -0.50294E+00
      0      1      -0.96763E-01       0.13439E-02      -0.93606E-01      -0.78277E+00      -0.37315E-01      -0.20110E+01
      0      1       0.22241E-01      -0.67146E-02      -0.10527E+00       0.32898E+01      -0.53791E-01      -0.16794E+01
      0      1       0.43313E-01       0.35622E-01       0.65442E-01      -0.16391E+01      -0.25268E-01      -0.61201E+00
      0      1       0.23329E-01       0.35450E-01      -0.37332E-02      -0.73466E+00       0.49792E-01      -0.16863E+01
      0      1       0.20884E-01       0.12355E-01      -0.25825E-01       0.26092E+01      -0.86662E-01       0.10782E+01
      0      1       0.68522E-01       0.37790E-01      -0.67567E-02      -0.13390E+01      -0.52569E-01       0.14347E+01
      0      1      -0.25917E-01       0.12572E-01      -0.86258E-01      -0.19544E+01       0.12169E+00       0.24459E+01
      0      1       0.17912E-01       0.84860E-02      -0.13131E+00       0.48831E+00       0.17770E+00       0.25142E+01
      0      1      -0.51383E-01       0.89593E-03      -0.39015E-01      -0.12641E+01      -0.25291E+00       0.57268E+00
      0      1       0.81201E-01       0.31574E-02       0.18507E+00      -0.69223E+00      -0.81627E-01      -0.17661E+01
      0      1      -0.38036E-01      -0.15824E-01       0.13003E+00       0.41660E+01      -0.13818E+00      -0.21294E+00
      0      1      -0.14368E-02       0.15319E-01      -0.17632E+00       0.25017E+01       0.31183E-01       0.91982E+00
      0      1       0.25911E-01       0.12780E-01      -0.55873E-01      -0.27625E+01       0.85459E-01       0.36975E+01
      0      1      -0.76179E-01       0.58132E-02       0.14234E-01       0.65088E+00      -0.11610E+00      -0.22990E+01
      0      1      -0.15772E-01      -0.16784E-01      -0.20402E+00      -0.68052E+00      -0.13778E+00       0.59799E+00
      0      1      -0.75807E-02       0.61101E-02      -0.76963E-01      -0.14445E+01       0.16499E+00      -0.17932E+01
      0      1      -0.39643E-02      -0.24994E-01      -0.16003E+00      -0.40288E+01       0.12257E+00       0.15240E+01
      0      1       0.40673E-01      -0.12837E-01      -0.17918E+00       0.11846E+01       0.17782E+00      -0.25012E+00
      0      1       0.68771E-01       0.13527E-01       0.49096E-01       0.32095E+01      -0.99340E-01      -0.13223E+01
      0      1       0.45758E-02       0.15690E-01       0.34078E+00       0.29029E+01      -0.26698E-01      -0.92585E+00
      0      1      -0.30592E-01       0.30827E-01      -0.15182E+00      -0.14537E+01      -0.31192E-01      -0.11674E+01
      0      1       0.57519E-01      -0.21961E-01      -0.32645E-01      -0.14526E+01      -0.18662E-01      -0.45091E+00
      0      1      -0.43095E-01      -0.19786E-01      -0.76388E-01      -0.70542E+00      -0.13761E+00      -0.13924E+01
      0      1      -0.64282E-01      -0.33205E-01      -0.54956E-01      -0.13750E+01       0.64805E-01       0.10468E+00
      0      1       0.86731E-01      -0.10925E-01      -0.90574E-01      -0.24660E+00      -0.90932E-01      -0.15401E+01
      0      1      -0.21279E-01       0.27395E-02       0.90053E-01       0.86296E+00      -0.11188E+00      -0.26152E+01
      0      1      -0.56721E-01      -0.16600E-02       0.21429E+00       0.61239E+00      -0.13014E+00      -0.32090E+01
      0      1       0.38138E-01       0.13522E-01      -0.37551E-01       0.15334E+01      -0.75085E-01       0.99112E+00
      0      1       0.39754E-01       0.24129E-01      -0.19786E+00      -0.37492E+00      -0.22357E+00      -0.49029E+00
      0      1      -0.48788E-01      -0.15709E-01      -0.39648E-01       0.80035E-02       0.18467E+00      -0.26152E+00
      0      1       0.47118E-01      -0.26470E-01       0.17115E+00       0.37154E+00       0.30209E-01      -0.19522E+01
      0      1       0.38291E-01       0.26152E-01      -0.12607E+00      -0.20420E+01       0.21727E+00       0.23740E+01
      0      1       0.62367E-01       0.33824E-01      -0.13325E-01       0.15184E+00      -0.47386E-01       0.22280E+01
      0      1      -0.22207E-02       0.30744E-01      -0.54666E-02       0.11930E+01      -0.18338E+00      -0.27670E+01
      0      1      -0.97182E-01       0.61748E-02       0.71638E-01       0.13026E+00      -0.11335E-01      -0.32459E+00
      0      1       0.58240E-01      -0.97311E-02       0.27237E-01      -0.20702E+00      -0.10825E-01       0.34186E+01
      0      1      -0.62983E-01      -0.83961E-02      -0.21204E+00      -0.11339E+01       0.24934E+00       0.21453E+01
      0      1       0.20363E-01       0.43638E-02       0.12729E+00       0.20353E+01       0.21114E+00       0.34351E+01
      0      1       0.22084E-01      -0.20852E-01      -0.17985E+00      -0.22095E+01      -0.35627E-02      -0.17684E+01
      0      1      -0.27771E-01      -0.16784E-01       0.24919E+00       0.71961E+00      -0.12619E+00      -0.20754E+01
      0      1       0.79717E-01       0.20841E-01       0.13296E+00      -0.67073E+00      -0.93582E-01      -0.34558E+00
      0      1       0.27966E-01       0.86254E-02       0.13758E+00       0.16521E+01      -0.21220E+00       0.16486E+01
      0      1      -0.21689E-01      -0.31467E-01      -0.76887E-01      -0.25496E+01      -0.20419E+00       0.49181E+00
      0      1      -0.10363E-01       0.12513E-02       0.29532E+00       0.55027E+00       0.21845E+00       0.21359E+01
